playlists.items.track.albumName,playlists.items.track.artistName,playlists.items.track.trackName,playlists.items.track.trackUri,playlists.name
Stranger In Town,Bob Seger,Old Time Rock & Roll,spotify:track:5EOoMWIB9iK4ZpcSex9Ec7,Rock Paper Scissors
Strawberry,Andrew Montana,Strawberry,spotify:track:0VB2DbuUCBkDuD5ZMJxPJN,Perfect Playlist Pt 2
Strays,Jane's Addiction,Just Because,spotify:track:3k6L0H08zSY5yRDgqI8fqx,Rock Paper Scissors
Strays,Jane's Addiction,Superhero,spotify:track:6z4CTIToU7a03Rq07F9FF4,"1 or 11? Its Aces, Charles!"
Strays,Jane's Addiction,Superhero,spotify:track:6z4CTIToU7a03Rq07F9FF4,The Knew
Suicidal Tendencies,Suicidal Tendencies,Institutionalized,spotify:track:7G83ZwD2msTtFaBQExc8QB,Rock Paper Scissors
Sunshine on Leith,The Proclaimers,I'm Gonna Be (500 Miles),spotify:track:67iAlVNDDdddxqSD2EZhFs,"1 or 11? Its Aces, Charles!"
Sunshine on Leith,The Proclaimers,I'm Gonna Be (500 Miles),spotify:track:67iAlVNDDdddxqSD2EZhFs,I Will Survive
Superunknown,Soundgarden,Black Hole Sun,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,I Will Survive
Superunknown,Soundgarden,Black Hole Sun,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,Missing Her
Sweet Dreams (Are Made Of This),Eurythmics,Sweet Dreams (Are Made of This) - Remastered,spotify:track:1TfqLAPs4K3s2rJMoCokcS,The Knew
Take Off Your Pants And Jacket,blink-182,First Date,spotify:track:1fJFuvU2ldmeAm5nFIHcPP,Missing Her
Tales of the Forgotten Melodies,Wax Tailor,Que Sera,spotify:track:6TSDRzJGwbK9cajVbtqlPV,Missing Her
Tell Me I'm Pretty,Cage The Elephant,Mess Around,spotify:track:0X0Lz7LwpiIWcdGqVWaxXD,The Knew
Ten,Pearl Jam,Even Flow,spotify:track:6QewNVIDKdSl8Y3ycuHIei,Missing Her
Tension Release,Stolen Gin,Tension Release,spotify:track:6c2LZZAqbbDdzl2xnQzaij,The Knew
That Look,Jono Smithers,That Look,spotify:track:5X170QrlhnifIkvCRRXMlu,Missing Her
That's The Spirit,Bring Me The Horizon,Throne,spotify:track:0M3adYbGtyRHACP86dey1H,The Knew
The Animals,The Animals,House Of The Rising Sun,spotify:track:7BY005dacJkbO6EPiOh2wb,I Will Survive
The Animals,The Animals,House Of The Rising Sun,spotify:track:7BY005dacJkbO6EPiOh2wb,Rock Paper Scissors
The Attractions Of Youth,Barns Courtney,Champion,spotify:track:0FNLnZRNWEIbGsb8jkU2lv,The Knew
The Attractions Of Youth,Barns Courtney,Fire,spotify:track:5w6B0sAH7XauCvMOAtplQj,The Knew
The Attractions Of Youth,Barns Courtney,Glitter & Gold,spotify:track:1Mf27cnAF1Q6Ko83XTM5d1,The Knew
The Attractions Of Youth,Barns Courtney,Golden Dandelions,spotify:track:5vdNoFezjTsQTrZxPK8tDg,The Knew
The Attractions Of Youth,Barns Courtney,Hands,spotify:track:4n2G1Wxz1gYxe7AhYV7N9E,The Knew
The Attractions Of Youth,Barns Courtney,Hellfire,spotify:track:00RI7b6oZDjx6IQC2eH6bh,The Knew
The Battle Of Los Angeles,Rage Against The Machine,Guerrilla Radio,spotify:track:1wsRitfRRtWyEapl0q22o8,Rock Paper Scissors
The Battle Of Los Angeles,Rage Against The Machine,Sleep Now In the Fire,spotify:track:1MQTmpYOZ6fcMQc56Hdo7T,Rock Paper Scissors
The Battle Of Los Angeles,Rage Against The Machine,Testify,spotify:track:7lmeHLHBe4nmXzuXc0HDjk,Rock Paper Scissors
The Beta Band,The Beta Band,Round the Bend,spotify:track:2Cofcx2rfbaoz5SUh7IJzj,Rock Paper Scissors
The Black And White Album,The Hives,Tick Tick Boom,spotify:track:6tedQ1ZmbygqhbdcfJL7Xb,Rock Paper Scissors
The Black Market,Rise Against,I Don’t Want To Be Here Anymore,spotify:track:6qtg4gz3DhqOHL5BHtSQw8,The Knew
The Black Parade,My Chemical Romance,Welcome to the Black Parade,spotify:track:5wQnmLuC1W7ATsArWACrgW,Missing Her
The Blessed Unrest,Sara Bareilles,Brave,spotify:track:6Uy6K3KdmUdAfelUp0SeXn,I Will Survive
The Blessed Unrest,Sara Bareilles,Hercules,spotify:track:1Ng4tk8lYfiwXbw4t8gdA2,I Will Survive
The Blessed Unrest,Sara Bareilles,I Choose You,spotify:track:7jJH8F3PHlNvxfqEAAfFDl,I Will Survive
The Blessed Unrest,Sara Bareilles,Satellite Call,spotify:track:0Jab895fPkyyQdNkMl6nYi,I Will Survive
The Click,AJR,Burn The House Down,spotify:track:0TkJIyL69RAUIbNwGub6uR,The Knew
The Click,AJR,Sober Up (feat. Rivers Cuomo),spotify:track:5jiYx70OBzEI99jx1Gn3FN,The Knew
The Colour And The Shape,Foo Fighters,Everlong,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,Rock Paper Scissors
The Colour And The Shape,Foo Fighters,Monkey Wrench,spotify:track:44wXefe8WB9Fd6xwtmAwbR,Rock Paper Scissors
The Colour And The Shape,Foo Fighters,My Hero,spotify:track:4dVbhS6OiYvFikshyaQaCN,Rock Paper Scissors
The Cost of Living - EP,The Clash,I Fought the Law,spotify:track:5dAxeuDkIkpa6wZpMOuG9i,Rock Paper Scissors
The Crane Wife,The Decemberists,Yankee Bayonet (I Will Be Home Then),spotify:track:56mkN44UC6FDePPdWknUYj,I Will Survive
The Crane Wife,The Decemberists,Yankee Bayonet (I Will Be Home Then),spotify:track:56mkN44UC6FDePPdWknUYj,Perfect Playlist Pt 2
The Crane Wife,The Decemberists,Yankee Bayonet (I Will Be Home Then),spotify:track:56mkN44UC6FDePPdWknUYj,Rock Paper Scissors
The Dark Side of the Moon,Pink Floyd,Money,spotify:track:0vFOzaXqZHahrZp6enQwQb,Rock Paper Scissors
The Devil You Know,X Ambassadors,The Devil You Know,spotify:track:5MEKqNAOlgt3sh5o0iq8EM,The Knew
The End Is Where We Begin,Thousand Foot Krutch,Courtesy Call,spotify:track:0AOmbw8AwDnwXhHC3OhdVB,Perfect Playlist Pt 2
The End Is Where We Begin,Thousand Foot Krutch,Fly On the Wall,spotify:track:61nJplehv0WVUKMQX0pd8O,Perfect Playlist Pt 2
The Essential Bangles,The Bangles,Walk Like an Egyptian,spotify:track:1Jwc3ODLQxtbnS8M9TflSP,I Will Survive
The Getaway,Red Hot Chili Peppers,Dark Necessities,spotify:track:2oaK4JLVnmRGIO9ytBE1bt,The Knew
The Glorious Dead,The Heavy,What Makes A Good Man?,spotify:track:3nGWzFBJ5tMzHWAgs16fK6,The Knew
The Golden Age,Woodkid,Run Boy Run,spotify:track:0boS4e6uXwp3zAvz1mLxZS,The Knew
The Golden Hum,Remy Zero,Save Me,spotify:track:4pkFvX3AkuiSGPkv8gMlks,"1 or 11? Its Aces, Charles!"
The Golden Hum,Remy Zero,Save Me,spotify:track:4pkFvX3AkuiSGPkv8gMlks,Missing Her
The Good Life,Sammy Rae & The Friends,Talk It Up,spotify:track:7FQCZ5i5bmQ76LoGHyVcX0,Perfect Playlist Pt 2
The Head And The Heart,The Head And The Heart,Cats and Dogs,spotify:track:7DxS1kCKQpcQXSjaJYBFso,The Knew
The Head And The Heart,The Head And The Heart,Coeur D’Alene,spotify:track:2bI4XBDk7MLV6mBjXDXXqi,The Knew
The Head And The Heart,The Head And The Heart,Down in the Valley,spotify:track:7IcKs2XXHnQBtBJtzEyqqS,The Knew
The Head And The Heart,The Head And The Heart,Ghosts,spotify:track:6mgHUic0CoWrKR7fR57CG3,The Knew
The Head And The Heart,The Head And The Heart,Heaven Go Easy on Me,spotify:track:2hjwmqX8eJaru8AR5Ll2N5,The Knew
The Head And The Heart,The Head And The Heart,Honey Come Home,spotify:track:3jY7HsEa1OfnhIBoBg90TF,The Knew
The Head And The Heart,The Head And The Heart,Lost in My Mind,spotify:track:3n263SWk3jGYfGMxHIRukn,The Knew
The Head And The Heart,The Head And The Heart,Rivers and Roads,spotify:track:3z7kvwJVRfA4HCOfm9ngog,"1 or 11? Its Aces, Charles!"
The Head And The Heart,The Head And The Heart,Rivers and Roads,spotify:track:3z7kvwJVRfA4HCOfm9ngog,Missing Her
The Head And The Heart,The Head And The Heart,Rivers and Roads,spotify:track:3z7kvwJVRfA4HCOfm9ngog,The Knew
The Head And The Heart,The Head And The Heart,Sounds Like Hallelujah,spotify:track:68axG1hoBwBlsaqbZCaPaL,The Knew
The Head And The Heart,The Head And The Heart,Winter Song,spotify:track:5nbzSunBRFGCI4Pb6PoCat,The Knew
The Heist,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),spotify:track:3bidbhpOYeV4knp8AIu8Xn,The Knew
The Hobbit: The Battle of the Five Armies (Original Motion Picture Soundtrack),Billy Boyd,The Last Goodbye,spotify:track:0j2Tw0MkOFKzXpwJLzW3vD,Perfect Playlist Pt 2
The Hobbit: The Desolation of Smaug (Original Motion Picture Soundtrack),Ed Sheeran,I See Fire,spotify:track:1fu5IQSRgPxJL2OTP7FVLW,Missing Her
The House That Dirt Built,The Heavy,Short Change Hero,spotify:track:7JOizhmt3HlBgQyJEa0AgK,The Knew
The Lord of the Rings: The Return of the King,Annie Lennox,Into the West,spotify:track:0gSEyG7pOFuHM05433EibX,Perfect Playlist Pt 2
The Man from U.N.C.L.E. (Original Motion Picture Soundtrack),Daniel Pemberton,Take You Down,spotify:track:2oloWUrkFHnVNA09IbzjZQ,"1 or 11? Its Aces, Charles!"
The Mandalorian: Chapter 8,Ludwig Göransson,The Baby,spotify:track:2hpBErFRab0qwNSzgglCNk,HOmeWorK BANgers
The Oh Hellos EP,The Oh Hellos,Hello My Old Heart,spotify:track:66MXa8qDIQRtwuxuNtjNCu,Missing Her
The Oh Hellos EP,The Oh Hellos,Hello My Old Heart,spotify:track:66MXa8qDIQRtwuxuNtjNCu,Perfect Playlist Pt 2
The Oh Hellos EP,The Oh Hellos,Hello My Old Heart,spotify:track:66MXa8qDIQRtwuxuNtjNCu,The Knew
The Open Door,Evanescence,Call Me When You're Sober,spotify:track:663Karu2rvKLdnY0eo1n3M,I Will Survive
The Paradox,Jacob Banks,Unknown,spotify:track:6n9uu6BeRNZwcvbomzKe2W,The Knew
The Razors Edge,AC/DC,Thunderstruck,spotify:track:57bgtoPSgt236HzfBOd8kj,Rock Paper Scissors
The Resistance,Muse,Uprising,spotify:track:4VqPOruhp5EdPBeR92t6lQ,Perfect Playlist Pt 2
The Resistance,Muse,Uprising,spotify:track:4VqPOruhp5EdPBeR92t6lQ,Rock Paper Scissors
The Ride,Catfish and the Bottlemen,7,spotify:track:5ykbOijJEfRhuo2Td1m0Qd,The Knew
The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,Starman - 2012 Remaster,spotify:track:0pQskrTITgmCMyr85tb9qq,"1 or 11? Its Aces, Charles!"
The Seldom Seen Kid,Elbow,Grounds for Divorce,spotify:track:6gCeQ6xJs2tYdLRzCPxeTZ,I Will Survive
The Seldom Seen Kid,Elbow,Grounds for Divorce,spotify:track:6gCeQ6xJs2tYdLRzCPxeTZ,Perfect Playlist Pt 2
The Seldom Seen Kid,Elbow,Mirrorball,spotify:track:04xBdpu35JfdRI4S1t5mX2,I Will Survive
The Seldom Seen Kid,Elbow,One Day Like This,spotify:track:6H3S7yQjHn3ErG9o6v7qBs,I Will Survive
The Ultimate Collection,Black Sabbath,War Pigs,spotify:track:0HVQuuXGAcQ2P5mBN521ae,Rock Paper Scissors
The Very Best of Bonnie Tyler,Bonnie Tyler,Total Eclipse of the Heart,spotify:track:7wuJGgpTNzbUyn26IOY6rj,I Will Survive
The Warrior's Code,Dropkick Murphys,I'm Shipping Up To Boston,spotify:track:7rSERmjAT38lC5QhJ8hnQc,Rock Paper Scissors
The Young and The Hopeless,Good Charlotte,Lifestyles of the Rich & Famous,spotify:track:2g2a5kDeZexbUTD8abcvm6,"1 or 11? Its Aces, Charles!"
The Young and The Hopeless,Good Charlotte,The Anthem,spotify:track:0BRHnOFm6sjxN1i9LJrUDu,Missing Her
There Is Nothing Left To Lose,Foo Fighters,Learn to Fly,spotify:track:5OQsiBsky2k2kDKy2bX2eT,Rock Paper Scissors
Thirteen Tales From Urban Bohemia,The Dandy Warhols,Bohemian Like You,spotify:track:0yEhNqCwEfy8LHUmnZoHpP,Missing Her
Thirteen Tales From Urban Bohemia,The Dandy Warhols,Bohemian Like You,spotify:track:0yEhNqCwEfy8LHUmnZoHpP,Rock Paper Scissors
This Album Does Not Exist,DREAMERS,Painkiller,spotify:track:15BsrefgYpMgu1ZCIr8EJw,"1 or 11? Its Aces, Charles!"
This Album Does Not Exist,DREAMERS,Painkiller,spotify:track:15BsrefgYpMgu1ZCIr8EJw,Missing Her
This Album Does Not Exist,DREAMERS,Painkiller,spotify:track:15BsrefgYpMgu1ZCIr8EJw,The Knew
This Album Does Not Exist,DREAMERS,Sweet Disaster,spotify:track:7bEDDsy2LFC0KSqhZp5nPE,The Knew
This Is War,Thirty Seconds To Mars,Kings And Queens,spotify:track:4sjLcE0GQ6urc4iUXsUPe9,The Knew
This Is War,Thirty Seconds To Mars,This Is War,spotify:track:2D52zjCyqEIQa221lhw6uk,"1 or 11? Its Aces, Charles!"
This Is War,Thirty Seconds To Mars,This Is War,spotify:track:2D52zjCyqEIQa221lhw6uk,The Knew
Three Cheers for Sweet Revenge,My Chemical Romance,I'm Not Okay (I Promise),spotify:track:7lRlq939cDG4SzWOF4VAnd,Missing Her
Three Days Grace,Three Days Grace,I Hate Everything About You,spotify:track:0M955bMOoilikPXwKLYpoi,Missing Her
Three Dog Night,Three Dog Night,One - Single Version,spotify:track:4ME2YQNThxEW63fxojzHvN,"1 or 11? Its Aces, Charles!"
Three Dog Night,Three Dog Night,One - Single Version,spotify:track:4ME2YQNThxEW63fxojzHvN,I Will Survive
Three Dog Night,Three Dog Night,One - Single Version,spotify:track:4ME2YQNThxEW63fxojzHvN,Missing Her
To Be Everywhere Is To Be Nowhere,Thrice,Black Honey,spotify:track:5OeY5LebIOzD9Zvat1Dikf,The Knew
Too Rye Ay,Dexys Midnight Runners,Come On Eileen,spotify:track:3MrWxJaD2AT0W9DjWF64Vm,"1 or 11? Its Aces, Charles!"
Top of the World 2,Stephen Walking,Top of the World 2,spotify:track:6s0iSdv9dForfYwakxE81m,HOmeWorK BANgers
Toto,TOTO,Hold the Line,spotify:track:4aVuWgvD0X63hcOCnZtNFA,I Will Survive
Toto IV,TOTO,Rosanna,spotify:track:37BTh5g05cxBIRYMbw8g2T,I Will Survive
Toys In The Attic,Aerosmith,Walk This Way,spotify:track:5SZ6zX4rOrEQferfFC2MfP,I Will Survive
Toys In The Attic,Aerosmith,Walk This Way,spotify:track:5SZ6zX4rOrEQferfFC2MfP,Rock Paper Scissors
Transmissions,STARSET,My Demons,spotify:track:3Xfg7AegXaDLoD5GOUMf2e,The Knew
Tribute,John Newman,Love Me Again,spotify:track:5VSCgNlSmTV2Yq5lB40Eaw,Missing Her
Tribute,John Newman,Love Me Again,spotify:track:5VSCgNlSmTV2Yq5lB40Eaw,The Knew
Up From Below (10th Anniversary Edition),Edward Sharpe & The Magnetic Zeros,Home - 2019 - Remaster,spotify:track:7KWGfnsUU4Ri46TIvjpAPx,Missing Her
Urban Hymns,The Verve,Bitter Sweet Symphony - Remastered 2016,spotify:track:57iDDD9N9tTWe75x6qhStw,I Will Survive
Use Your Illusion I,Guns N' Roses,Live And Let Die,spotify:track:0rFWuqFgHAfuzE8uSB9TWR,Rock Paper Scissors
Vat Hom Fluffy,Jono Smithers,Vat Hom Fluffy,spotify:track:5cOIGLOrxSdnMm8aIRyRCt,Perfect Playlist Pt 2
Vessel,Twenty One Pilots,House of Gold,spotify:track:36tghkPg1AO4HsAzo6YpPp,Missing Her
"Video Game Songs, Vol. 2",Tryhardninja,Dragonhearted,spotify:track:1aZb15alCyanO61gVWpNnw,HOmeWorK BANgers
Villains,Queens of the Stone Age,The Way You Used To Do,spotify:track:52LL3IFB8N3PaJmoZ8Xii1,The Knew
Violent Femmes,Violent Femmes,Add It Up,spotify:track:3G19lVvFje61D7q1uG3QjD,Rock Paper Scissors
Violent Femmes,Violent Femmes,Add It Up,spotify:track:61QW3AcU1jm5ttPOn8eZhn,Perfect Playlist Pt 2
Violent Femmes,Violent Femmes,Add It Up,spotify:track:61QW3AcU1jm5ttPOn8eZhn,The Knew
Viva La Vida or Death and All His Friends,Coldplay,Viva La Vida,spotify:track:1mea3bSkSGXuIRvnydlB5b,"1 or 11? Its Aces, Charles!"
Waiting For The Dawn,The Mowgli's,San Francisco,spotify:track:5RRWirYSE08FPKD6Mx4v0V,"1 or 11? Its Aces, Charles!"
Waiting For The Dawn,The Mowgli's,San Francisco,spotify:track:5RRWirYSE08FPKD6Mx4v0V,Missing Her
Wake Up Call,Theory of a Deadman,Rx (Medicate),spotify:track:2UZtI2HUyLRzqBjodvcUmY,Missing Her
Wake Up Call,Theory of a Deadman,Rx (Medicate),spotify:track:2UZtI2HUyLRzqBjodvcUmY,The Knew
Waking Up,OneRepublic,Everybody Loves Me,spotify:track:0Q0Vl9fKJF5MDxfVKbD78e,"1 or 11? Its Aces, Charles!"
Waking Up,OneRepublic,Secrets,spotify:track:1NhPKVLsHhFUHIOZ32QnS2,The Knew
Waking Up The Giants,Grizfolk,Troublemaker,spotify:track:472mFdP6wkHO6xzKn5F4et,The Knew
WALLS,Kings of Leon,Waste A Moment,spotify:track:5LlsD7LdSMkGV4Iu0a2Zq0,The Knew
Warning,Green Day,Minority,spotify:track:4qjfQnccStTR8zNsb6Mizo,Rock Paper Scissors
Warning,Green Day,Minority,spotify:track:4qjfQnccStTR8zNsb6Mizo,The Knew
"Wasteland, Baby!",Hozier,Sunlight,spotify:track:4zvvvHm0b5CBl37tocxm7n,Perfect Playlist Pt 2
Wasting Light,Foo Fighters,Walk,spotify:track:76Je5Wklky23mVoxiRszcN,Rock Paper Scissors
Wasting Light,Foo Fighters,Walk,spotify:track:76Je5Wklky23mVoxiRszcN,The Knew
We Are The Night,Madison Mars,We Are The Night,spotify:track:44wpzPHkSow8pQPZDSGOit,HOmeWorK BANgers
weird!,YUNGBLUD,parents,spotify:track:5v4OkFH0TJ6W1hCFxyn0px,The Knew
Welcome To The Monkey House,The Dandy Warhols,I Am Over It,spotify:track:12bXhqLyUIWK2S1bp3XdJt,Rock Paper Scissors
What Lana Says,Proleter,What Lana Says,spotify:track:5l1deuLMR3ZqRAdq5SpVeE,HOmeWorK BANgers
What We Live For,American Authors,I'm Born To Run,spotify:track:6zDs6zI94L761vd0cVScTT,The Knew
What Went Down,Foals,Mountain at My Gates,spotify:track:3f7OyfSoDbQC0LRDQiytPp,The Knew
What's Inside: Songs from Waitress,Sara Bareilles,She Used To Be Mine,spotify:track:2D4BSm5Z8Hq5zYbSgJwEOh,I Will Survive
When the Morning Comes,A Great Big World,Kaleidoscope,spotify:track:2SkJKMfjpYsNv0KWOxiegX,Missing Her
Where'd Your Weekend Go?,The Mowgli's,Alone Sometimes,spotify:track:0ne8iNLplH15M6EtgzPkf0,Missing Her
White Blood Cells,The White Stripes,Fell In Love With a Girl,spotify:track:21Qsj3cMVCx2xF2EVVNbEu,Missing Her
White Blood Cells,The White Stripes,Fell In Love With a Girl,spotify:track:21Qsj3cMVCx2xF2EVVNbEu,Rock Paper Scissors
Wild World,Bastille,Blame,spotify:track:7yrx5A6zDOsd7Bn02WvbLH,The Knew
Willy And The Poor Boys,Creedence Clearwater Revival,Fortunate Son,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,"1 or 11? Its Aces, Charles!"
Willy And The Poor Boys,Creedence Clearwater Revival,Fortunate Son,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,Rock Paper Scissors
With Love - EP,Oh Honey,I Love You Will Still Sound The Same,spotify:track:6KRddNr4XlooytDWtefT7L,Missing Her
Wolfmother,Wolfmother,Woman,spotify:track:3CkjLJYnnyOtGk4Jx4iYS4,Rock Paper Scissors
Wonderful Wonderful,The Killers,Run For Cover,spotify:track:5NAiPIEzxAexFE3ucV18Q8,The Knew
Woodland,The Paper Kites,Bloom - Bonus Track,spotify:track:1HMQmOWrkieKYWlFsjUP3D,Perfect Playlist Pt 2
Wrecked,Imagine Dragons,Wrecked,spotify:track:2d1MywHy6FwKdzxFuSJnwl,The Knew
You Don't Mess Around With Jim,Jim Croce,Time in a Bottle,spotify:track:561F1zqRwGPCTMRsLsXVtL,"1 or 11? Its Aces, Charles!"
You Forgot It In People,Broken Social Scene,Stars And Sons,spotify:track:34NxpUqK4BZmVB9Pe6VuUZ,Rock Paper Scissors
Young Adult,Ritt Momney,Young Adult,spotify:track:70pYds3cGjJv2hnPie9c0H,Perfect Playlist Pt 2
Young Chasers,Circa Waves,T-Shirt Weather,spotify:track:7MfNoHB8JRNbSQ8P3eAfMQ,The Knew
Youngblood,5 Seconds of Summer,Youngblood,spotify:track:2iUXsYOEPhVqEBwsqP70rE,The Knew
Youngblood Hawke,Youngblood Hawke,We Come Running,spotify:track:4Xv41B0BJRcMBJYpavNDfD,The Knew
Zephyrus,The Oh Hellos,Soap,spotify:track:6KdS8wTdix7afv3dqSjaW4,Perfect Playlist Pt 2
