name,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
alexandria virgina,6/3/2023,27.3,11.6,20.3,26.7,11.6,20.1,4.4,38.3,0,0,0,,0,0,13,15.7,274.3,1015.8,7.8,16,258.5,22.4,8,10,4:54:46,20:41:27,0.5,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/4/2023,29.3,12.9,21.9,27.7,12.9,21.5,6.2,40,0,0,0,,0,0,31.7,18.9,259.7,1014.6,12.8,16,259.6,22.3,8,10,4:54:14,20:42:18,0.52,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/5/2023,29.2,13.4,22,27.5,13.4,21.5,4.3,36.2,0,0,0,,0,0,33.1,18.9,256,1013.1,16.7,16,247.3,21.4,7,10,4:53:45,20:43:07,0.56,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,F4008,KSFF,KGEG,KSKA"
alexandria virgina,6/6/2023,30,11.6,21.5,28.1,11.6,21,1.9,31.9,0,0,0,,0,0,16.6,13.1,348.4,1011,12.7,16,264.5,22.7,8,10,4:53:18,20:43:54,0.59,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/7/2023,32.3,14.8,23.8,30.1,14.8,23,4.8,32.1,0,0,0,,0,0,13,12.6,297.7,1008.3,41.9,16,254.1,21.7,8,10,4:52:54,20:44:39,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,F7574,72785024157,KGEG,KSKA"
alexandria virgina,6/8/2023,29.6,17.3,21,28.6,17.3,20.9,12.6,62.4,5.984,100,16.67,rain,0,0,57.2,24.8,23.5,1010.3,58.8,15.2,118.4,10.1,6,10,4:52:32,20:45:23,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/9/2023,22,16.9,18.7,22,16.9,18.7,15.8,84.1,4.504,100,29.17,rain,0,0,16.6,13,179.5,1012,93,13.7,93.3,8,4,10,4:52:13,20:46:04,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/10/2023,22.4,15.1,18.1,22.4,15.1,18.1,12.2,69.9,0.028,100,4.17,rain,0,0,18.4,10.2,193.8,1013.9,78.8,16,114,9.8,5,10,4:51:56,20:46:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/11/2023,26.8,13.3,20.2,26.7,13.3,20.2,12.2,63,0,0,0,,0,0,13,8.8,22.3,1012.3,41.4,16,241.7,20.9,8,10,4:51:42,20:47:19,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/12/2023,31.1,16.6,23.2,29.8,16.6,23,13.7,58.3,0.592,100,8.33,rain,0,0,29.5,16.5,32.8,1011.1,41.4,16,209.8,18.3,7,30,4:51:31,20:47:54,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/13/2023,30.7,16.4,23.3,29.5,16.4,22.9,11.8,54,0,0,0,,0,0,54.7,35.8,225.1,1006.7,18.5,15.5,242.8,20.9,7,30,4:51:22,20:48:26,0.84,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/14/2023,18.7,11.5,14.6,18.7,11.5,14.6,5.2,55,0.892,100,12.5,rain,0,0,52.9,35.8,235.2,1009.7,89.5,15.9,100.1,8.5,7,10,4:51:15,20:48:56,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/15/2023,22.3,11.6,16.8,22.3,11.6,16.8,6.8,54.1,0,0,0,,0,0,16.6,13.6,212.7,1016,53.4,15.3,207.5,17.7,6,10,4:51:12,20:49:24,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/16/2023,27,11.6,19.7,26.5,11.6,19.7,7.2,48.6,0,0,0,,0,0,37.3,28,211.3,1016.9,34.4,15.7,213,18.6,7,10,4:51:10,20:49:49,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/17/2023,23.2,15.5,19.8,23.2,15.5,19.8,7.1,45.7,0,0,0,,0,0,40.3,27.3,212,1008.5,74.2,16,209.8,18,8,10,4:51:12,20:50:12,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/18/2023,19.1,9.5,14.6,19.1,6.2,14.2,0.2,39.3,0,0,0,,0,0,51.6,35,217.5,1004.2,66.3,16,214.8,18.4,7,10,4:51:16,20:50:33,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/19/2023,18,6.3,12.2,18,3.8,11.4,1.7,50.8,0.794,100,4.17,rain,0,0,43.3,30,207.1,1008.4,72.5,16,201.1,17.5,7,10,4:51:22,20:50:51,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/20/2023,13.8,8.6,11.3,13.8,6.3,10.8,4.8,64.7,2.184,100,16.67,rain,0,0,33.5,20.1,189.5,1018.5,79.4,15.7,114.5,9.7,4,10,4:51:31,20:51:06,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/21/2023,18.8,9.2,14,18.8,7.9,13.8,4.8,56.7,0,0,0,,0,0,18.4,16.6,160,1021.6,75.3,16,160,13.8,5,10,4:51:43,20:51:19,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/22/2023,23.9,8.2,16.6,23.9,8.2,16.6,4.7,50.6,0,0,0,,0,0,16.6,12.2,23.1,1016.6,23.4,16,249,21.5,7,10,4:51:57,20:51:30,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/23/2023,27.6,9.2,19.3,26.4,9.2,19.1,4.4,42.5,0,0,0,,0,0,31.7,19.1,286.4,1011.3,15.4,16,258.8,22.2,8,10,4:52:13,20:51:37,0.18,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/24/2023,27.7,12.6,20.5,26.7,12.6,20.3,5.9,41.1,0,0,0,,0,0,47.9,19.4,176.1,1015.3,32.7,16,227.8,19.6,7,10,4:52:32,20:51:43,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/25/2023,28.6,12.6,21.4,27.1,12.6,21,6.4,42.7,0,0,0,,0,0,31.7,21.4,195.6,1014.8,34.8,16,224.8,19.5,7,10,4:52:53,20:51:45,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/26/2023,28.5,14.3,21.8,27.2,14.3,21.7,8.1,44.4,0,0,0,,0,0,14.8,19.8,246.6,1011.8,33.1,16,209.3,18,7,10,4:53:17,20:51:45,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/27/2023,28.7,17.2,21.5,27.6,17.2,21.3,10.9,53.7,4.208,100,16.67,rain,0,0,47.9,27.1,251.6,1009.6,56.8,15.8,218,18.7,7,10,4:53:42,20:51:43,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/28/2023,29.4,14.9,22.1,28.3,14.9,21.8,12.5,59.7,0,0,0,,0,0,14.8,12,308,1012.4,22.9,16,247.2,21.4,8,10,4:54:11,20:51:38,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/29/2023,31.5,17.1,24.8,29.9,17.1,24.3,12.1,48.9,0,0,0,,0,0,33.5,14.1,207.9,1013.8,18.2,16,233.9,20.2,8,10,4:54:41,20:51:30,0.38,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/30/2023,32.8,16.8,25,30.6,16.8,24.3,8,38.3,0,0,0,,0,0,35.3,20.3,201.8,1013.4,9.7,16,264,22.6,8,10,4:55:14,20:51:20,0.41,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/1/2023,31.1,17.7,24.3,29,17.7,23.6,4.3,30.2,0,0,0,,0,0,46.6,34.4,227,1013.2,6.3,16,263.2,22.6,8,10,4:55:48,20:51:07,0.44,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/2/2023,27.8,14.8,21.5,26.5,14.8,21.3,1.7,29.5,0,0,0,,0,0,32.7,17.8,263.7,1014.2,4.3,16,262.8,22.6,8,10,4:56:25,20:50:51,0.48,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/3/2023,27.5,11.5,20.6,26.4,11.5,20.4,0.5,29.8,0,0,0,,0,0,36.8,20.8,331.8,1014.9,10.4,16,252.4,22,7,10,4:57:04,20:50:33,0.5,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/4/2023,30.2,12.2,21.7,28.3,12.2,21.2,3.3,33.1,0,0,0,,0,0,42.5,20.2,8.8,1016.3,22.8,16,245.1,21.3,7,10,4:57:45,20:50:12,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/5/2023,30.3,14.7,23.4,28.4,14.7,22.8,5.7,34.9,0,0,0,,0,0,42.5,12.3,36.5,1014.6,29.5,16,234.4,20.2,8,10,4:58:28,20:49:48,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/6/2023,32.3,14.9,24.1,30.1,14.9,23.4,6.8,37.3,0,0,0,,0,0,16.6,12.7,9.7,1011.1,18.3,16,246.1,21.4,7,10,4:59:13,20:49:22,0.62,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/7/2023,33.5,16.3,25.7,31.1,16.3,24.7,6.6,33.6,0,0,0,,0,0,33.5,16.5,40.4,1008.9,17.6,16,240.3,21,8,10,5:00:00,20:48:54,0.65,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/8/2023,35,17.9,26.7,32.6,17.9,25.8,7.5,32.2,0,0,0,,0,0,20.5,12,17.8,1008.4,13,16,246.3,21.1,8,10,5:00:48,20:48:22,0.69,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/9/2023,35.9,17.6,27.2,33.3,17.6,26.2,7.7,33.5,0,0,0,,0,0,38.9,13.3,359.1,1007.3,10.6,16,242.4,20.9,8,10,5:01:38,20:47:49,0.75,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/10/2023,26.4,16.7,21.8,26.4,16.7,21.8,11,51.5,2.245,100,12.5,rain,0,0,50.9,30.7,263.8,1009.7,54.5,15.7,122,10.6,6,10,5:02:30,20:47:13,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/11/2023,28.2,14.2,20.9,27.1,14.2,20.7,9,51,0,0,0,,0,0,33.6,18.7,226.5,1014,26.7,16,232,19.9,7,10,5:03:24,20:46:34,0.79,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/12/2023,30.6,14.1,22.9,28.7,14.1,22.4,6.9,40.5,0,0,0,,0,0,37.2,24,217.6,1013.2,15.1,16,259.4,22.4,8,10,5:04:19,20:45:53,0.83,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/13/2023,29.5,15.1,22.9,27.9,15.1,22.5,7.6,39.6,0,0,0,,0,0,36.8,20.7,242.2,1014.8,14.1,16,253,21.9,8,10,5:05:16,20:45:09,0.86,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/14/2023,32.3,15.8,24.6,30.3,15.8,23.8,7.8,37.1,0,0,0,,0,0,29.5,14.3,273.1,1016.9,16.4,16,227.6,19.8,8,10,5:06:14,20:44:23,0.9,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/15/2023,34.7,16.8,26.3,32.2,16.8,25.3,6.4,33,0,0,0,,0,0,41.7,22.4,226.8,1015.3,12.3,16,243.7,21.1,8,10,5:07:14,20:43:35,0.93,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/16/2023,36.3,17,27,33.6,17,25.9,4.8,27.3,0,0,0,,0,0,32.8,21.1,199.8,1011.4,21.3,16,218.8,19,7,10,5:08:15,20:42:44,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/17/2023,28.1,18.8,23.8,26.8,18.8,23.5,5,31,0,0,0,,0,0,57.7,39.4,223.1,1010.8,14.7,16,240.8,20.8,7,10,5:09:17,20:41:51,0,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/18/2023,28.1,11.3,20.7,26.8,11.3,20.5,3.6,35.4,0,0,0,,0,0,27.7,15.7,257.3,1017.4,5.5,16,245.5,21.2,8,10,5:10:21,20:40:56,0.03,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/19/2023,33,14.2,23.9,30.9,14.2,23.2,6.2,35.2,0,0,0,,0,0,29.5,9.3,23.2,1018.2,2.4,16,243.4,21,8,10,5:11:26,20:39:58,0.07,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/20/2023,35.6,15.9,26.3,33,15.9,25.2,6.6,33.2,0,0,0,,0,0,16.6,13.8,354.5,1015.5,11.6,16,237.2,20.6,7,10,5:12:32,20:38:58,0.1,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/21/2023,35.3,17.8,27.3,33.3,17.8,26.4,8.1,31.9,0,0,0,,0,0,40.7,17.2,191.6,1013.9,5,16,237.2,20.5,7,10,5:13:39,20:37:56,0.13,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/22/2023,32.9,20.1,26.3,30.6,20.1,25.4,4.2,25.6,0,0,0,,0,0,33.1,22.9,217.1,1013.3,5.1,16,243.2,21.1,8,10,5:14:47,20:36:52,0.17,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/23/2023,35.4,16.9,26.6,32.8,16.9,25.6,6,29.6,0,0,0,,0,0,18.4,12.9,84.2,1010.9,9,16,236.3,20.4,7,10,5:15:56,20:35:46,0.2,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/24/2023,31.6,19.6,25.1,29.5,19.6,24.5,7.1,33.5,0,0,0,,0,0,48.9,31.1,230.1,1011.3,22.1,16,231.8,20,7,10,5:17:06,20:34:38,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/25/2023,26.3,16.4,21.1,26.3,16.4,21.1,6.7,42.3,0,0,0,,0,0,45.3,24.8,225.7,1016.8,32.2,16,162.9,14.2,5,10,5:18:17,20:33:27,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/26/2023,27.1,11,19.5,26.4,11,19.4,1.5,33.1,0,0,0,,0,0,29.5,14.1,256,1016.5,8.1,16,239.4,20.7,8,10,5:19:28,20:32:15,0.3,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/27/2023,29.5,12.3,21.7,27.7,12.3,21.2,2.2,30.9,0,0,0,,0,0,18.4,10.5,317.3,1013.7,24,16,233.7,20.2,8,10,5:20:41,20:31:01,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/28/2023,31.3,14,23.1,29.2,14,22.5,4,31.7,0,0,0,,0,0,18.4,10.1,328.5,1014.6,12.1,16,233.1,20.2,8,10,5:21:54,20:29:45,0.37,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/29/2023,33.2,15.5,25,30.9,15.5,24.2,5.2,30.6,0,0,0,,0,0,27.7,12.7,270.9,1013.8,13,16,219.8,18.9,7,10,5:23:08,20:28:27,0.4,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/30/2023,29.6,17.9,23.9,28,17.9,23.4,5.2,31.8,0,0,0,,0,0,34.3,19.2,225.3,1014.7,14.4,16,214.5,18.5,8,10,5:24:22,20:27:07,0.43,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,7/31/2023,30,14.2,22.5,28.2,14.2,21.9,3,30.7,0,0,0,,0,0,31.7,20.7,252.1,1015.6,7.4,16,223.7,19.4,7,10,5:25:38,20:25:45,0.47,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,8/1/2023,32.3,13.2,23.1,30.1,13.2,22.3,2.5,28.8,0,0,0,,0,0,25.9,15.6,233.3,1015.2,3.5,16,224.5,19.4,7,10,5:26:53,20:24:22,0.5,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,8/2/2023,33.6,14.4,24.6,31.2,14.4,23.7,2.3,26.3,0,0,0,,0,0,35.3,18.8,249.9,1013.5,6.3,16,219.5,19,7,10,5:28:09,20:22:57,0.53,Clear,Clear conditions throughout the day.,clear-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
